step,episode,ep_return_raw,ep_return_shaped,ep_len,loss,q_mean,epsilon,replay_size,lr
185855,209,150.0,1.5000000000000002,856,0.00012001452705590054,0.09144045412540436,0.81600355,150000,5.9247537500000004e-05
186804,210,280.0,2.8,949,5.868003790965304e-05,0.0903267040848732,0.81506404,150000,5.9230930000000004e-05
187340,211,120.0,1.2,536,3.950511745642871e-05,0.080478236079216,0.8145334,150000,5.922155e-05
188250,212,150.0,1.5000000000000002,910,2.2474927391158417e-05,0.0829782485961914,0.8136325,150000,5.9205625e-05
189027,213,130.0,1.3,777,0.00021258556807879359,0.08882484585046768,0.81286327,150000,5.9192027500000004e-05
189590,214,80.0,0.7999999999999999,563,0.00010235815716441721,0.09110815823078156,0.8123059,150000,5.9182175e-05
190616,215,205.0,2.0500000000000003,1026,7.285756146302447e-05,0.08225554972887039,0.81129016,150000,5.916422e-05
191315,216,140.0,1.4000000000000001,699,0.000180284128873609,0.09303263574838638,0.81059815,150000,5.91519875e-05
192103,217,80.0,0.7999999999999999,788,0.00012281171802897006,0.09770108759403229,0.80981803,150000,5.91381975e-05
192824,218,175.0,1.7500000000000002,721,8.574981620768085e-05,0.09634850919246674,0.80910424,150000,5.912558e-05
193270,219,60.0,0.6,446,0.00015127885853871703,0.08757662773132324,0.8086627,150000,5.9117775e-05
193716,220,70.0,0.7,446,3.1478164601139724e-05,0.08564858138561249,0.80822116,150000,5.910997e-05
194771,221,295.0,2.9499999999999997,1055,0.00010554299660725519,0.09421246498823166,0.80717671,150000,5.90915075e-05
195152,222,50.0,0.5,381,3.344482684042305e-05,0.08654985576868057,0.80679952,150000,5.908484e-05
196829,223,310.0,3.0999999999999996,1677,4.556877684080973e-05,0.08907411992549896,0.8051392900000001,150000,5.90554925e-05
197676,224,175.0,1.7500000000000002,847,0.00012619583867490292,0.08900029957294464,0.8043007600000001,150000,5.904067e-05
198201,225,80.0,0.7999999999999999,525,1.5278863429557532e-05,0.08218175172805786,0.80378101,150000,5.90314825e-05
199043,226,120.0,1.2,842,0.00020011968445032835,0.09409034997224808,0.80294743,150000,5.90167475e-05
200038,227,140.0,1.4000000000000001,995,7.939511851873249e-05,0.09831796586513519,0.80196238,150000,5.8999335e-05
201054,228,220.0,2.2,1016,7.486595859518275e-05,0.09817615151405334,0.80095654,150000,5.8981555e-05
202332,229,265.0,2.65,1278,0.00010388030932517722,0.09273594617843628,0.79969132,150000,5.895919e-05
202933,230,140.0,1.4000000000000001,601,0.00014373764861375093,0.09244146943092346,0.79909633,150000,5.89486725e-05
203946,231,160.0,1.6000000000000003,1013,7.60945986257866e-05,0.09695093333721161,0.79809346,150000,5.8930945e-05
204409,232,120.0,1.2,463,6.831591599620879e-05,0.0856948047876358,0.79763509,150000,5.8922842500000004e-05
204759,233,70.0,0.7,350,0.00013319760910235345,0.09626683592796326,0.79728859,150000,5.89167175e-05
205625,234,235.0,2.35,866,5.365965989767574e-05,0.09334215521812439,0.79643125,150000,5.89015625e-05
206034,235,60.0,0.6,409,3.156486855004914e-05,0.09114120155572891,0.79602634,150000,5.8894405000000004e-05
206956,236,150.0,1.5000000000000002,922,0.0001937168708536774,0.09670427441596985,0.79511356,150000,5.887827e-05
207708,237,160.0,1.6000000000000003,752,5.55471888219472e-05,0.0839531272649765,0.7943690800000001,150000,5.886511e-05
208321,238,140.0,1.4000000000000001,613,8.449158485746011e-05,0.1032397523522377,0.79376221,150000,5.88543825e-05
208956,239,90.0,0.8999999999999999,635,2.8810063668061048e-05,0.09463691711425781,0.79313356,150000,5.884327e-05
210051,240,205.0,2.0500000000000003,1095,2.6098005037056282e-05,0.0890377014875412,0.79204951,150000,5.88241075e-05
210517,241,80.0,0.7999999999999999,466,6.287713040364906e-05,0.09013106673955917,0.79158817,150000,5.88159525e-05
211575,242,295.0,2.9499999999999997,1058,9.622755169402808e-05,0.09718362987041473,0.79054075,150000,5.87974375e-05
211978,243,90.0,0.8999999999999999,403,2.6391959181637503e-05,0.09585830569267273,0.79014178,150000,5.8790385000000004e-05
213720,244,325.0,3.2499999999999996,1742,3.315399226266891e-05,0.09926138073205948,0.7884172,150000,5.87599e-05
214119,245,90.0,0.8999999999999999,399,0.0001612133055459708,0.10113789141178131,0.78802219,150000,5.87529175e-05
214305,246,20.0,0.2,186,9.176887397188693e-05,0.09155520796775818,0.78783805,150000,5.87496625e-05
214965,247,140.0,1.4000000000000001,660,0.0001437630708096549,0.09479226171970367,0.78718465,150000,5.8738112500000004e-05
215324,248,50.0,0.5,359,8.971454371931031e-05,0.09754696488380432,0.78682924,150000,5.873183e-05
216387,249,220.0,2.2,1063,0.00011345701932441443,0.0943574607372284,0.7857768700000001,150000,5.8713227500000004e-05
217792,250,310.0,3.0999999999999996,1405,5.437161598820239e-05,0.09486053884029388,0.78438592,150000,5.868864e-05
218030,251,50.0,0.5,238,4.668367910198867e-05,0.09716597199440002,0.7841503,150000,5.8684475e-05
218495,252,100.0,0.9999999999999999,465,0.00016772073286119848,0.09511169791221619,0.78368995,150000,5.86763375e-05
219413,253,175.0,1.7500000000000002,918,4.9086556828115135e-05,0.09385063499212265,0.78278113,150000,5.86602725e-05
